2025-11-05T09:05:29.842149+1,24.7,
2025-11-05T09:05:31.912962+1,25.01,
2025-11-05T09:05:32.980326+1,24.81,
2025-11-05T09:05:35.042078+1,24.96,
2025-11-05T09:05:37.208388+1,25.15,
2025-11-05T09:07:57.874734+1,30.81,
2025-11-05T09:09:53.255159+1,27.9,
2025-11-05T09:10:42.133036+1,27.46,
2025-11-05T09:11:45.954368+1,27.09,
2025-11-05T09:14:45.402101+1,26.62,
2025-11-05T09:16:25.372480+1,26.41,
2025-11-05T09:20:28.936579+1,34.83,
2025-11-05T09:20:32.821699+1,34.77,
2025-11-05T09:22:22.599085+1,36.23,
2025-11-05T09:22:35.596033+1,36.11,
2025-11-05T09:23:10.433946+1,36.26,
2025-11-05T09:23:29.265763+1,36.32,
2025-11-05T09:24:00.969153+1,36.46,
2025-11-05T09:24:03.037407+1,36.49,
2025-11-05T09:24:14.924053+1,36.49,
2025-11-05T09:25:13.832135+1,36.59,
2025-11-05T09:25:17.400531+1,36.6,
2025-11-05T09:25:21.822667+1,36.6,
2025-11-05T09:25:22.607728+1,36.6,
2025-11-05T09:25:24.114934+1,36.6,
2025-11-05T09:27:55.862415+1,36.86,
2025-11-05T09:29:00.072176+1,36.88,
2025-11-05T09:30:53.146267+1,36.88,
2025-11-05T09:34:11.488877+1,36.93,
2025-11-05T09:36:36.098234+1,36.98,
2025-11-05T09:36:46.526561+1,36.99,
2025-11-05T09:36:47.239210+1,36.99,
2025-11-05T09:38:57.841549+1,36.97,
2025-11-05T09:39:19.395635+1,36.96,
2025-11-05T09:40:30.605486+1,36.94,
2025-11-05T09:41:28.559516+1,36.98,
2025-11-05T09:42:46.415478+1,36.95,
2025-11-05T09:42:54.567052+1,36.97,
2025-11-05T09:45:14.289503+1,36.89,
2025-11-05T09:46:32.000150+1,36.9,
2025-11-05T09:46:41.854692+1,36.93,
2025-11-05T09:48:07.123210+1,36.98,
2025-11-05T09:49:09.970458+1,36.9,
2025-11-05T09:49:12.942751+1,36.9,
2025-11-05T09:51:28.326032+1,36.92,
2025-11-05T09:51:51.422457+1,36.9,
2025-11-05T09:53:34.157709+1,36.93,
2025-11-05T09:53:49.367991+1,36.97,
2025-11-05T09:53:52.972209+1,36.97,
2025-11-05T09:56:21.646621+1,36.85,
2025-11-05T09:56:25.765650+1,36.85,
2025-11-05T09:57:35.489893+1,36.89,
2025-11-05T09:58:39.112048+1,36.82,
2025-11-05T09:59:55.044770+1,36.84,
2025-11-05T10:01:13.758782+1,36.84,
2025-11-05T10:04:17.637093+1,36.84,
2025-11-05T10:05:59.200830+1,36.85,
2025-11-05T10:09:01.447144+1,36.8,
2025-11-05T10:11:52.689763+1,36.69,
2025-11-05T10:12:11.552431+1,36.66,
2025-11-05T10:14:29.370442+1,36.73,
2025-11-05T10:16:10.108199+1,36.79,
2025-11-05T10:16:13.755707+1,36.79,
2025-11-05T10:21:50.290640+1,36.92,
2025-11-05T10:24:16.127412+1,37.02,
2025-11-05T10:24:19.649616+1,37.01,
2025-11-05T10:25:27.860400+1,37.01,
2025-11-05T10:29:21.619094+1,37.03,
2025-11-05T10:30:12.659685+1,37.09,
2025-11-05T10:30:14.552873+1,37.1,
2025-11-05T10:30:15.436944+1,37.09,
2025-11-05T10:33:07.699417+1,37.07,
2025-11-05T10:36:01.239024+1,37.07,
2025-11-05T10:37:58.422678+1,37.14,
2025-11-05T10:37:59.058736+1,37.14,
2025-11-05T10:40:19.591593+1,37.14,
