2025-11-06T08:42:33.365006+1,25.96,
2025-11-06T08:42:36.364205+1,25.94,
2025-11-06T08:43:07.767283+1,25.99,
2025-11-06T08:43:28.296639+1,26.14,
2025-11-06T08:44:23.145778+1,26.4,
2025-11-06T08:44:39.093814+1,26.45,
2025-11-06T08:45:07.041352+1,26.56,
2025-11-06T08:45:49.431811+1,26.72,
2025-11-06T08:45:57.411577+1,26.72,
2025-11-06T08:46:08.322060+1,26.73,
2025-11-06T08:47:30.172633+1,26.93,
2025-11-06T08:48:01.600680+1,27.07,
2025-11-06T08:48:09.517708+1,27.07,
2025-11-06T08:48:20.543889+1,27.1,
2025-11-06T08:48:24.529670+1,27.08,
2025-11-06T08:49:34.377412+1,27.18,
2025-11-06T08:50:23.734183+1,27.23,
2025-11-06T08:50:25.748059+1,27.23,
2025-11-06T08:51:37.487619+1,27.36,
2025-11-06T08:52:08.406463+1,27.42,
2025-11-06T08:52:17.848811+1,27.43,
2025-11-06T08:52:44.858873+1,27.5,
2025-11-06T08:53:59.589842+1,27.54,
2025-11-06T08:54:09.569002+1,27.51,
2025-11-06T08:54:54.542676+1,27.3,
2025-11-06T08:54:57.972709+1,27.28,
2025-11-06T08:54:59.966403+1,27.26,
2025-11-06T08:55:06.492245+1,27.21,
2025-11-06T08:55:18.867632+1,27.18,
2025-11-06T08:55:20.372484+1,27.19,
2025-11-06T08:56:21.606787+1,26.99,
2025-11-06T08:56:28.030806+1,26.97,
2025-11-06T08:57:04.389952+1,26.87,
2025-11-06T08:57:54.410103+1,26.77,
2025-11-06T08:57:55.886875+1,26.76,
2025-11-06T08:58:49.238599+1,26.61,
2025-11-06T08:59:21.691832+1,26.51,
2025-11-06T09:00:20.892717+1,26.43,
2025-11-06T09:00:29.907590+1,26.37,
2025-11-06T09:00:49.369416+1,26.32,
2025-11-06T09:02:33.637861+1,25.43,
2025-11-06T09:03:09.423410+1,25.25,
2025-11-06T09:03:22.974588+1,25.18,
2025-11-06T09:03:31.958159+1,25.17,
2025-11-06T09:03:44.390858+1,25.14,
2025-11-06T09:03:47.425400+1,25.13,
2025-11-06T09:03:56.381408+1,25.09,
2025-11-06T09:05:02.218031+1,24.96,
2025-11-06T09:05:14.848698+1,24.92,
2025-11-06T09:05:58.624534+1,24.94,
2025-11-06T09:06:44.539101+1,24.94,
2025-11-06T09:07:04.409988+1,24.97,
2025-11-06T09:07:27.879929+1,24.93,
2025-11-06T09:07:48.728561+1,24.93,
2025-11-06T09:08:13.594245+1,24.94,
2025-11-06T09:08:16.597715+1,24.94,
2025-11-06T09:08:33.050216+1,24.9,
2025-11-06T09:08:40.547397+1,24.9,
2025-11-06T09:09:26.026926+1,24.91,
2025-11-06T09:10:05.931455+1,24.84,
2025-11-06T09:10:06.930924+1,24.84,
2025-11-06T09:10:24.957593+1,24.83,
2025-11-06T09:11:02.266417+1,24.92,
2025-11-06T09:11:25.577215+1,24.93,
2025-11-06T09:11:31.013233+1,24.92,
2025-11-06T09:11:36.470230+1,24.91,
2025-11-06T09:12:34.811605+1,24.94,
2025-11-06T09:13:04.243002+1,24.98,
2025-11-06T09:13:09.213120+1,24.99,
2025-11-06T09:13:17.201243+1,24.99,
2025-11-06T09:13:56.069325+1,25.02,
2025-11-06T09:14:00.069280+1,25.03,
2025-11-06T09:13:59.572056+1,25.03,
2025-11-06T09:14:07.521457+1,25.06,
2025-11-06T09:14:10.496209+1,25.03,
2025-11-06T09:14:34.433926+1,25.0,
2025-11-06T09:14:49.898947+1,25.02,
2025-11-06T09:14:51.387065+1,25.03,
2025-11-06T09:15:03.882476+1,25.03,
2025-11-06T09:15:09.424505+1,25.03,
2025-11-06T09:15:11.883569+1,25.03,
2025-11-06T09:15:14.881240+1,25.03,
2025-11-06T09:15:19.907842+1,25.01,
2025-11-06T09:15:53.378046+1,25.0,
2025-11-06T09:16:32.662979+1,25.07,
2025-11-06T09:16:40.583349+1,25.09,
2025-11-06T09:16:43.583162+1,25.07,
2025-11-06T09:16:53.529136+1,25.06,
2025-11-06T09:16:58.989761+1,25.06,
2025-11-06T09:17:14.985179+1,25.08,
2025-11-06T09:17:17.954917+1,25.08,
2025-11-06T09:17:19.961490+1,25.08,
2025-11-06T09:17:29.385075+1,25.08,
2025-11-06T09:17:33.369436+1,25.09,
2025-11-06T09:17:37.350029+1,25.09,
2025-11-06T09:17:55.749348+1,25.11,
2025-11-06T09:18:00.238739+1,25.12,
2025-11-06T09:18:06.705635+1,25.12,
2025-11-06T09:18:31.708883+1,25.11,
2025-11-06T09:18:39.683481+1,25.11,
2025-11-06T09:19:09.619570+1,25.12,
2025-11-06T09:19:14.083216+1,25.15,
2025-11-06T09:19:29.500046+1,25.16,
2025-11-06T09:19:33.017823+1,25.16,
2025-11-06T09:19:45.398060+1,25.17,
2025-11-06T09:20:13.255167+1,25.2,
2025-11-06T09:20:16.771958+1,25.23,
2025-11-06T09:20:21.258055+1,25.2,
2025-11-06T09:20:37.185184+1,25.18,
2025-11-06T09:21:00.670465+1,25.24,
2025-11-06T09:21:05.634959+1,25.22,
2025-11-06T09:21:11.601628+1,25.21,
2025-11-06T09:21:14.543325+1,25.21,
2025-11-06T09:21:43.837490+1,25.22,
2025-11-06T09:21:56.807987+1,25.21,
2025-11-06T09:23:00.293233+1,25.2,
2025-11-06T09:23:19.291801+1,25.19,
2025-11-06T09:23:34.701959+1,25.2,
2025-11-06T09:23:53.703630+1,25.23,
2025-11-06T09:23:58.667887+1,25.23,
2025-11-06T09:24:35.044141+1,25.25,
2025-11-06T09:24:36.041912+1,25.25,
2025-11-06T09:24:41.024644+1,25.23,
2025-11-06T09:24:55.025565+1,25.2,
2025-11-06T09:25:08.066530+1,25.17,
2025-11-06T09:25:34.408741+1,25.2,
2025-11-06T09:25:58.356339+1,25.23,
2025-11-06T09:26:13.808924+1,25.21,
2025-11-06T09:26:24.739835+1,25.23,
2025-11-06T09:26:35.719623+1,25.24,
2025-11-06T09:26:43.677955+1,25.27,
2025-11-06T09:27:34.036292+1,25.38,
2025-11-06T09:27:47.014707+1,25.6,
2025-11-06T09:28:02.460586+1,30.42,
2025-11-06T09:28:07.952460+1,30.34,
2025-11-06T09:28:08.451996+1,30.25,
2025-11-06T09:28:13.469452+1,30.08,
2025-11-06T09:28:19.491301+1,29.97,
2025-11-06T09:28:24.449138+1,31.52,
2025-11-06T09:28:32.430484+1,31.32,
2025-11-06T09:28:37.880800+1,31.94,
2025-11-06T09:28:39.891610+1,32.29,
2025-11-06T09:28:47.844095+1,33.08,
2025-11-06T09:28:50.861473+1,33.15,
2025-11-06T09:28:58.316027+1,32.73,
2025-11-06T09:29:14.809597+1,34.44,
2025-11-06T09:29:18.842516+1,34.83,
2025-11-06T09:29:38.208564+1,35.48,
2025-11-06T09:29:46.180853+1,35.59,
2025-11-06T09:29:48.643675+1,35.6,
2025-11-06T09:30:34.464788+1,36.07,
2025-11-06T09:30:42.477363+1,36.13,
2025-11-06T09:30:55.476723+1,36.15,
2025-11-06T09:30:56.474464+1,36.12,
2025-11-06T09:31:13.842393+1,36.33,
2025-11-06T09:31:40.278274+1,36.27,
2025-11-06T09:32:20.207554+1,36.3,
2025-11-06T09:32:31.241488+1,36.31,
2025-11-06T09:33:40.516073+1,36.4,
2025-11-06T09:34:05.401470+1,36.45,
2025-11-06T09:34:10.846887+1,36.45,
2025-11-06T09:34:28.812455+1,36.48,
2025-11-06T09:34:30.812089+1,36.47,
2025-11-06T09:34:38.715670+1,36.47,
2025-11-06T09:34:40.214025+1,36.46,
2025-11-06T09:34:51.200409+1,36.48,
2025-11-06T09:35:20.948330+1,36.56,
2025-11-06T09:35:24.401274+1,36.57,
2025-11-06T09:35:51.764315+1,36.54,
2025-11-06T09:36:02.696348+1,36.51,
2025-11-06T09:36:23.602551+1,36.54,
2025-11-06T09:36:26.144232+1,36.55,
2025-11-06T09:36:50.129219+1,36.52,
2025-11-06T09:37:04.098798+1,36.5,
2025-11-06T09:37:25.968966+1,36.53,
2025-11-06T09:37:30.445589+1,36.54,
